Source,Target,source.type,target.type,abs.r,r,p.n,p
(g)Bdellovibrio,MEgreen3,genus,trans,0.406442577030812,0.406442577030812,pos,0.0153994821165377
(g)Bdellovibrio,MEorange4,genus,trans,0.591316526610644,0.591316526610644,pos,0.000183535705606333
(g)Bdellovibrio,MEpink1,genus,trans,0.517086834733894,0.517086834733894,pos,0.00146921248902574
(g)Bdellovibrio,MEyellow3,genus,trans,0.401960784313726,-0.401960784313726,neg,0.0166836381819784
(g)Bergeyella,MEorangered2,genus,trans,0.428851540616247,-0.428851540616247,neg,0.0101542081731856
(g)Blastococcus,MEbrown4,genus,trans,0.479271708683473,-0.479271708683473,neg,0.00357970509849956
(g)Blastococcus,MEchocolate3,genus,trans,0.455742296918768,-0.455742296918768,neg,0.00593581134671078
(g)Bordetella,MEmediumorchid,genus,trans,0.433333333333333,-0.433333333333333,neg,0.00931197457388261
(g)Bordetella,MEturquoise,genus,trans,0.423529411764706,-0.423529411764706,neg,0.0112375119558024
(g)Bordetella,MEvioletred1,genus,trans,0.428571428571429,-0.428571428571429,neg,0.0102089274011681
(g)Brevibacillus,MEbrown1,genus,trans,0.400560224089636,-0.400560224089636,neg,0.0171028614913961
(g)Brevibacillus,MEdarkseagreen3,genus,trans,0.408963585434174,-0.408963585434174,neg,0.0147143324531147
(g)Brevibacillus,MEplum3,genus,trans,0.413165266106443,-0.413165266106443,neg,0.0136293677663471
(g)Brevundimonas,MEindianred2,genus,trans,0.458543417366947,-0.458543417366947,neg,0.00559915605662856
(g)Brevundimonas,MEoldlace,genus,trans,0.431652661064426,-0.431652661064426,neg,0.00962056991761663
(g)Campylobacter,MEcoral2,genus,trans,0.408403361344538,-0.408403361344538,neg,0.0148643314970077
(g)Campylobacter,MEgoldenrod3,genus,trans,0.470868347338936,-0.470868347338936,neg,0.0043056584922817
(g)Campylobacter,MEhoneydew1,genus,trans,0.467507002801121,0.467507002801121,pos,0.00462982049742896
(g)Campylobacter,MEorange1,genus,trans,0.458263305322129,-0.458263305322129,neg,0.00563206550819802
(g)Campylobacter,MEpalevioletred3,genus,trans,0.432212885154062,-0.432212885154062,neg,0.00951675325512713
(g)Campylobacter,MEseashell2,genus,trans,0.458543417366947,-0.458543417366947,neg,0.00559915605662856
(g)Campylobacter,MEsienna3,genus,trans,0.456582633053221,0.456582633053221,pos,0.00583303611969423
(g)Caulobacter,MEdarkblue,genus,trans,0.450420168067227,-0.450420168067227,neg,0.00662354413564521
(g)Caulobacter,MEmediumpurple1,genus,trans,0.431372549019608,0.431372549019608,pos,0.00967283814384966
(g)Caulobacter,MEyellow2,genus,trans,0.445378151260504,-0.445378151260504,neg,0.0073369766858132
(g)Clostridium,MEburlywood2,genus,trans,0.419607843137255,0.419607843137255,pos,0.0120969753771763
(g)Clostridium,MEdarkorchid2,genus,trans,0.401960784313726,-0.401960784313726,neg,0.0166836381819784
(g)Clostridium,MEdarkseagreen4,genus,trans,0.426890756302521,-0.426890756302521,neg,0.010542525000737
(g)Clostridium,MEdarkturquoise,genus,trans,0.444817927170868,0.444817927170868,pos,0.00742015898325665
(g)Clostridium,MElavenderblush,genus,trans,0.417647058823529,-0.417647058823529,neg,0.0125471234572842
(g)Clostridium,MElavenderblush2,genus,trans,0.467226890756303,-0.467226890756303,neg,0.00465776045344754
(g)Clostridium,MElightblue3,genus,trans,0.466946778711485,0.466946778711485,pos,0.00468584579956253
(g)Clostridium,MEtomato4,genus,trans,0.40812324929972,0.40812324929972,pos,0.0149398113619609
(g)Clostridium,MEturquoise,genus,trans,0.422408963585434,-0.422408963585434,neg,0.0114776265283481
(g)Corynebacterium,MEpalevioletred2,genus,trans,0.438095238095238,0.438095238095238,pos,0.00848294729998627
(g)Dechloromonas,MElightyellow,genus,trans,0.40952380952381,-0.40952380952381,neg,0.0145656072976526
(g)Deinococcus,MEbisque1,genus,trans,0.403081232492997,-0.403081232492997,neg,0.0163544840597589
(g)Deinococcus,MEdeepskyblue4,genus,trans,0.521008403361345,-0.521008403361345,neg,0.00133167520493476
(g)Deinococcus,MEmediumorchid1,genus,trans,0.468627450980392,0.468627450980392,pos,0.00451950224727137
(g)Deinococcus,MEsteelblue,genus,trans,0.449859943977591,0.449859943977591,pos,0.00669975767173915
(g)Dysgonomonas,LesionType,genus,CT,0.447163443784122,-0.447163443784122,neg,0.00707719419423669
(g)Elizabethkingia,MEbrown4,genus,trans,0.436974789915966,-0.436974789915966,neg,0.00867212508243335
(g)Elizabethkingia,MEdarkorchid3,genus,trans,0.469467787114846,-0.469467787114846,neg,0.00443826007501446
(g)Elizabethkingia,MEgrey,genus,trans,0.403641456582633,-0.403641456582633,neg,0.0161919575969213
(g)Elizabethkingia,MElightblue1,genus,trans,0.418207282913165,-0.418207282913165,neg,0.0124170901216459
(g)Elizabethkingia,MElightcyan,genus,trans,0.439775910364146,-0.439775910364146,neg,0.0082057810395294
(g)Elizabethkingia,MEplum3,genus,trans,0.438655462184874,-0.438655462184874,neg,0.00838968511713272
(g)Elizabethkingia,Size_LR,genus,CT,0.406450425203345,-0.406450425203345,neg,0.0153973083454616
(g)Enhydrobacter,LesionType,genus,CT,0.458484037297644,-0.458484037297644,neg,0.00560611858071937
(g)Enhydrobacter,MElightpink1,genus,trans,0.416806722689076,-0.416806722689076,neg,0.0127443274399654
(g)Enhydrobacter,MElightsteelblue1,genus,trans,0.424089635854342,0.424089635854342,pos,0.0111190581893655
(g)Enhydrobacter,MEviolet,genus,trans,0.458543417366947,-0.458543417366947,neg,0.00559915605662856
(g)Enhydrobacter,MEyellow3,genus,trans,0.426610644257703,-0.426610644257703,neg,0.0105990134593837
