Source,Target,source.type,target.type,abs.r,r,p.n,p
(f)Beijerinckiaceae,MEmagenta1,genus,trans,0.478195488721805,0.478195488721805,pos,0.0329503832149577
(f)Beijerinckiaceae,MEseashell3,genus,trans,0.451127819548872,0.451127819548872,pos,0.0458832588000064
(f)Beijerinckiaceae,MEskyblue2,genus,trans,0.712781954887218,-0.712781954887218,neg,0.000420175389108779
(f)Beijerinckiaceae,MEtomato4,genus,trans,0.57593984962406,0.57593984962406,pos,0.00787094017744506
(f)Beijerinckiaceae,MEturquoise4,genus,trans,0.511278195488722,0.511278195488722,pos,0.0212206441332248
(f)Beijerinckiaceae,MEviolet,genus,trans,0.496240601503759,-0.496240601503759,neg,0.0260514647072489
(f)Beutenbergiaceae,LesionType,genus,CT,0.520265981714472,0.520265981714472,pos,0.018692511424374
(f)Beutenbergiaceae,MEaliceblue,genus,trans,0.559398496240601,0.559398496240601,pos,0.0103332584610107
(f)Beutenbergiaceae,MEbrown4,genus,trans,0.509774436090226,-0.509774436090226,neg,0.0216689666215354
(f)Beutenbergiaceae,MEdarkseagreen3,genus,trans,0.476691729323308,-0.476691729323308,neg,0.0335840795109333
(f)Beutenbergiaceae,MEdeeppink1,genus,trans,0.470676691729323,-0.470676691729323,neg,0.0362145516660009
(f)Beutenbergiaceae,MEfirebrick2,genus,trans,0.470676691729323,0.470676691729323,pos,0.0362145516660009
(f)Beutenbergiaceae,MEgrey60,genus,trans,0.479699248120301,-0.479699248120301,neg,0.0323260692002141
(f)Beutenbergiaceae,MEindianred2,genus,trans,0.503759398496241,0.503759398496241,pos,0.0235380392211682
(f)Beutenbergiaceae,MElightgreen,genus,trans,0.455639097744361,-0.455639097744361,neg,0.043493409805466
(f)Beutenbergiaceae,MEmediumpurple2,genus,trans,0.449624060150376,0.449624060150376,pos,0.0467019093880629
(f)Beutenbergiaceae,MEnavajowhite1,genus,trans,0.469172932330827,-0.469172932330827,neg,0.0368965591814291
(f)Beutenbergiaceae,MEnavajowhite2,genus,trans,0.455639097744361,-0.455639097744361,neg,0.043493409805466
(f)Beutenbergiaceae,MEpaleturquoise,genus,trans,0.481203007518797,-0.481203007518797,neg,0.0317110446244624
(f)Beutenbergiaceae,MEpaleturquoise1,genus,trans,0.461654135338346,-0.461654135338346,neg,0.040457634341481
(f)Beutenbergiaceae,MEtomato4,genus,trans,0.455639097744361,0.455639097744361,pos,0.043493409805466
(f)Beutenbergiaceae,Segmented,genus,CT,0.551361044737032,-0.551361044737032,neg,0.0117374069348061
(f)Bradyrhizobiaceae,MElavenderblush,genus,trans,0.455639097744361,-0.455639097744361,neg,0.043493409805466
(f)Bradyrhizobiaceae,MElightcyan,genus,trans,0.454135338345865,-0.454135338345865,neg,0.0442791041628947
(f)Caulobacteraceae,MaxDiameter,genus,CT,0.531119759773121,-0.531119759773121,neg,0.015966375947624
(f)Caulobacteraceae,MEbrown4,genus,trans,0.631578947368421,-0.631578947368421,neg,0.00281828716557325
(f)Caulobacteraceae,MEdeeppink1,genus,trans,0.493233082706767,-0.493233082706767,neg,0.0271142049419442
(f)Caulobacteraceae,MEfirebrick2,genus,trans,0.482706766917293,0.482706766917293,pos,0.0311052168695434
(f)Caulobacteraceae,MEmistyrose4,genus,trans,0.615037593984962,-0.615037593984962,neg,0.00390031129821323
(f)Caulobacteraceae,MEskyblue1,genus,trans,0.541353383458647,-0.541353383458647,neg,0.0136974953970477
(f)Caulobacteraceae,Segmented,genus,CT,0.567949271011355,-0.567949271011355,neg,0.00899239869349145
(f)Caulobacteraceae,Size_UD,genus,CT,0.505270940926219,-0.505270940926219,neg,0.0230567715331578
(f)Chitinophagaceae,Ctvalue,genus,CT,0.547780440998855,0.547780440998855,pos,0.0124107473716217
(f)Chitinophagaceae,MEblue3,genus,trans,0.485714285714286,0.485714285714286,pos,0.0299207825255925
(f)Chitinophagaceae,MEdarkslateblue,genus,trans,0.44812030075188,-0.44812030075188,neg,0.0475317357506642
(f)Chitinophagaceae,MEdodgerblue1,genus,trans,0.530827067669173,0.530827067669173,pos,0.0160354443767762
(f)Chitinophagaceae,MElightpink,genus,trans,0.517293233082707,0.517293233082707,pos,0.019500547061355
(f)Chitinophagaceae,MErosybrown3,genus,trans,0.449624060150376,0.449624060150376,pos,0.0467019093880629
(f)Chitinophagaceae,MEwheat1,genus,trans,0.485714285714286,0.485714285714286,pos,0.0299207825255925
(f)Comamonadaceae,MEsienna1,genus,trans,0.560902255639098,0.560902255639098,pos,0.0100863724248034
(f)Cyclobacteriaceae,MEaliceblue,genus,trans,0.550375939849624,0.550375939849624,pos,0.0119196370019133
(f)Cyclobacteriaceae,MEantiquewhite4,genus,trans,0.530827067669173,-0.530827067669173,neg,0.0160354443767762
(f)Cyclobacteriaceae,MEbrown4,genus,trans,0.493233082706767,-0.493233082706767,neg,0.0271142049419442
(f)Cyclobacteriaceae,MEchocolate3,genus,trans,0.508270676691729,-0.508270676691729,neg,0.0221247804637924
(f)Cyclobacteriaceae,MEdarkmagenta,genus,trans,0.464661654135338,-0.464661654135338,neg,0.0390026194861654
(f)Cyclobacteriaceae,MEdarkolivegreen,genus,trans,0.484210526315789,-0.484210526315789,neg,0.0305084935506666
(f)Cyclobacteriaceae,MEdarkturquoise,genus,trans,0.457142857142857,0.457142857142857,pos,0.042718510627877
(f)Cyclobacteriaceae,MEgreen4,genus,trans,0.46015037593985,-0.46015037593985,neg,0.0412007178019545
(f)Cyclobacteriaceae,MElavenderblush2,genus,trans,0.445112781954887,-0.445112781954887,neg,0.0492252966921177
(f)Cyclobacteriaceae,MElightpink2,genus,trans,0.479699248120301,0.479699248120301,pos,0.0323260692002141
(f)Cyclobacteriaceae,MEnavajowhite2,genus,trans,0.491729323308271,-0.491729323308271,neg,0.0276582275130461
(f)Cyclobacteriaceae,MEpaleturquoise,genus,trans,0.515789473684211,-0.515789473684211,neg,0.0199197634597036
(f)Cyclobacteriaceae,MEtomato4,genus,trans,0.445112781954887,0.445112781954887,pos,0.0492252966921177
(f)Enterobacteriaceae,MEbisque4,genus,trans,0.470676691729323,0.470676691729323,pos,0.0362145516660009
(f)Enterobacteriaceae,MEblue3,genus,trans,0.470676691729323,0.470676691729323,pos,0.0362145516660009
(f)Enterobacteriaceae,MEblueviolet,genus,trans,0.475187969924812,-0.475187969924812,neg,0.0342272511450713
(f)Enterobacteriaceae,MEbrown,genus,trans,0.571428571428571,0.571428571428571,pos,0.00848908569476669
(f)Enterobacteriaceae,MEbrown4,genus,trans,0.506766917293233,-0.506766917293233,neg,0.0225881723805918
(f)Enterobacteriaceae,MEburlywood1,genus,trans,0.52781954887218,-0.52781954887218,neg,0.0167591268829289
(f)Enterobacteriaceae,MEchocolate3,genus,trans,0.517293233082707,-0.517293233082707,neg,0.019500547061355
(f)Enterobacteriaceae,MEcoral2,genus,trans,0.55187969924812,0.55187969924812,pos,0.0116423733670858
(f)Enterobacteriaceae,MEcornflowerblue,genus,trans,0.52781954887218,0.52781954887218,pos,0.0167591268829289
(f)Enterobacteriaceae,MEcyan1,genus,trans,0.523308270676692,0.523308270676692,pos,0.0178934779804182
(f)Enterobacteriaceae,MEdarkgoldenrod,genus,trans,0.490225563909774,0.490225563909774,pos,0.028210805618894
(f)Enterobacteriaceae,MEdarkgoldenrod1,genus,trans,0.578947368421053,0.578947368421053,pos,0.00747966020966875
(f)Enterobacteriaceae,MEdarkgoldenrod4,genus,trans,0.500751879699248,0.500751879699248,pos,0.0245192684094765
(f)Enterobacteriaceae,MEdarkgreen,genus,trans,0.494736842105263,0.494736842105263,pos,0.0265786474054572
(f)Enterobacteriaceae,MEdarkorange,genus,trans,0.44812030075188,-0.44812030075188,neg,0.0475317357506642
(f)Enterobacteriaceae,MEdarksalmon,genus,trans,0.457142857142857,0.457142857142857,pos,0.042718510627877
(f)Enterobacteriaceae,MEdarkseagreen,genus,trans,0.518796992481203,-0.518796992481203,neg,0.0190883943841925
(f)Enterobacteriaceae,MEdarkseagreen2,genus,trans,0.482706766917293,-0.482706766917293,neg,0.0311052168695434
(f)Enterobacteriaceae,MEdarkslateblue,genus,trans,0.514285714285714,-0.514285714285714,neg,0.0203461282869807
